Kedalaman,DO,Arus,pH,Temperatur,Salinitas,Kekeruhan,Konduktivitas,Kecerahan,BOD5,COD,Klorofil_a,PP,TSS,TDS,Kand_Organik,Ammonia,Nitrat,Nitrit,Ortofosfat,Total_Phosphorus,Heterotrofik,Vibrio,Salmonella,E_Coli,Status
3,8.8,0.026179939,8.01,27.9,34.1,1.87,50.3,6,10.5,5.52,0.24,0.950520833,2.5,22200,3.01,0.069,0.046,0.005,0.019,24,52000,0,15500,400,Oligotrofik
6,8.5,0.019634954,8.03,28.1,34.1,2.02,50.4,6,13.5,5.52,0.26,3.564453125,2.5,22200,3.01,0.135,0.039,0.005,0.032,24,52000,0,15500,400,Oligotrofik
0,7.2,0.013083333,8.2,28.7,32,1.59,50.5,4.6,13,31,0.13,1.901041667,3300,28500,8000,0.12,0.01,0.004,0.21,10,42083333.33,0,93858333.33,2778333.333,Eutrofik
3,7.1,0.045791667,8.2,28.7,32,1.62,50.4,4.6,1,46.5,0.27,-1.901041667,3200,34500,6800,0.12,0.01,0.004,0.14,10,42083333.33,0,93858333.33,2778333.333,Eutrofik
6,7.1,0.032708333,8.2,28.7,32,1.42,50.4,4.6,1,31,0.18,-0.237630208,1200,32100,7400,0.01,0.01,0.004,0.25,10,42083333.33,0,93858333.33,2778333.333,Oligotrofik
0,6,0,8.21,28.4,33,1.2,50.2,5.43,17,15.5,0.16,1.42578125,2300,21300,14800,0.06,0.02,0.008,0.24,10,124125000,8333.333333,1666.666667,15486666.67,Eutrofik
3,5.8,0.006541667,8.21,28.2,33,1.88,49.8,5.43,3,15.5,0.17,1.42578125,2400,34700,6800,0.07,0.02,0.008,0.47,10,124125000,8333.333333,1666.666667,15486666.67,Eutrofik
6,5.6,0.0294375,8.2,28.5,33,1.96,50,5.43,3.5,15.5,0.08,0.237630208,1600,30500,7800,0.09,0.02,0.009,0.04,10,124125000,8333.333333,1666.666667,15486666.67,Eutrofik
0,6.8,0.032708333,8.19,28.6,31,1.39,50.3,6.22,4,31,0,0.475260417,2000,35200,6800,0.07,0.01,0.003,0.5,10,8350000,0,8333.333333,14275833.33,Eutrofik
3,7.2,0.0785,8.2,28.6,32,1.54,50.4,6.22,3,15.5,0.4,2.8515625,2500,34200,6200,0.02,0.01,0.004,0.34,10,8350000,0,8333.333333,14275833.33,Eutrofik
6,7.1,0.058875,8.2,28.4,32,2.52,50.3,6.22,6.5,15.5,0.18,0.475260417,1900,53400,16800,0.06,0.01,0.004,0.29,10,8350000,0,8333.333333,14275833.33,Eutrofik
0,5.6,0.03925,8.19,28.3,32,1.38,50.3,6.6,3.5,15.5,0.1,1.901041667,1300,35300,5800,0.3,0.01,0.004,0.19,10,51258333.33,833.3333333,160911666.7,2662500,Eutrofik
3,5.3,0.0098125,8.22,28.1,32,2.36,50.2,6.6,2.5,31,0.56,0,2200,32500,6000,0.05,0.01,0.004,0.19,10,51258333.33,833.3333333,160911666.7,2662500,Eutrofik
6,5.2,0,8.21,28.4,32,2.44,49.9,6.6,4.5,15.5,0.56,2.613932292,1200,34900,22200,0.01,0.01,0.001,0.65,10,51258333.33,833.3333333,160911666.7,2662500,Eutrofik
0,7.7,0.052333333,8.33,29.6,31,1.37,50.3,4.44,13,31,0.13,1.901041667,1100,33500,4200,0.08,0.02,0.005,0.28,10,42083333.33,0,93858333.33,2778333.333,Eutrofik
3,5.1,0.022895833,8.29,29.1,31,1.5,50,4.44,1,46.5,0.27,-1.901041667,1000,32500,5600,0.06,0.02,0.006,0.22,10,42083333.33,0,93858333.33,2778333.333,Eutrofik
6,4.8,0.045791667,8.26,28.9,31,2.8,50.1,4.44,1,31,0.18,-0.237630208,1200,33300,6400,0.07,0.02,0.003,0.24,10,42083333.33,0,93858333.33,2778333.333,Eutrofik
0,7.7,0.019625,8.32,29.3,32,1.2,50.5,6.34,17,15.5,0.16,1.42578125,1200,33300,5000,0.07,0.01,0.001,0.16,10,124125000,8333.333333,1666.666667,15486666.67,Eutrofik
3,5.6,0.0490625,8.29,28.9,32,2.4,50.3,6.34,3,15.5,0.17,1.42578125,1200,34600,6600,0.03,0.01,0.003,0.12,10,124125000,8333.333333,1666.666667,15486666.67,Eutrofik
6,5.1,0.019625,8.27,28.4,32,2.91,50.5,6.34,3.5,15.5,0.08,0.237630208,1200,33000,5800,0.01,0.01,0.001,0.09,10,124125000,8333.333333,1666.666667,15486666.67,Eutrofik
0,4.8,0.202791667,8.28,29.1,32,1.81,50.4,5.45,4,31,0,0.475260417,1200,33800,6400,0.01,0.01,0.005,0.18,10,8350000,0,8333.333333,14275833.33,Eutrofik
3,5.4,0.11775,8.27,29,32,2.53,50.4,5.45,3,15.5,0.4,2.8515625,1100,35800,5000,0.05,0.01,0.001,0.29,10,8350000,0,8333.333333,14275833.33,Eutrofik
6,6,0.137375,8.25,29.1,32,1.71,50.3,5.45,6.5,15.5,0.18,0.475260417,1000,33500,6000,0.01,0.01,0.004,0.29,10,8350000,0,8333.333333,14275833.33,Eutrofik
0,5.6,0.058875,8.23,28.9,32,2.28,50.5,6.23,3.5,15.5,0.1,1.901041667,1000,23000,7200,0.06,0.02,0.004,1.34,10,51258333.33,833.3333333,160911666.7,2662500,Eutrofik
3,5.3,0.124291667,8.24,28.7,33,2.61,50.4,6.23,2.5,31,0.56,0,1000,33500,3000,0.06,0.01,0.005,0.1,10,51258333.33,833.3333333,160911666.7,2662500,Eutrofik
6,5.2,0.098125,8.23,27.8,32,3.31,50.5,6.23,4.5,15.5,0.56,2.613932292,1000,32200,5800,0.05,0.01,0.005,0.1,10,51258333.33,833.3333333,160911666.7,2662500,Eutrofik
0,3.4,0.03925,8.14,28.9,31,1.8,50.2,8.26,13,31,0.13,1.901041667,3300,28500,8000,0.03,0.02,0.006,0.38,10,42083333.33,0,93858333.33,2778333.333,Eutrofik
3,5,0.104666667,8.03,29.9,33,1.79,50.3,8.26,1,46.5,0.27,-1.901041667,3200,34500,6800,0.12,0.01,0.006,0.3,10,42083333.33,0,93858333.33,2778333.333,Eutrofik
